,HO_up,HO_down,NAFLD_up,NAFLD_down,NASH_up,NASH_down,diff_w4_up,diff_w4_down,diff_w8_up,diff_w8_down,diff_w16_up,diff_w16_down,diff_w32_up,diff_w32_down,diff_w48_up,diff_w48_down,HF12_up,HF12_down,HF18_up,HF18_down,STZ12_up,STZ12_down,STZ18_up,STZ18_down,MCD4_up,MCD4_down,MCD8_up,MCD8_down,Pten_up,Pten_down,HF30_up,HF30_down,WTD_up,WTD_down,macaca_ko_up,macaca_ko_down
HO_up,5,0,4,0,5,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HO_down,0,3,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NAFLD_up,4,0,38,0,38,0,2,0,3,0,6,3,7,2,1,1,1,0,1,0,1,0,1,1,3,1,3,0,2,1,1,0,1,0,0,0
NAFLD_down,0,1,0,12,0,12,1,2,1,1,0,4,0,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,2
NASH_up,5,0,38,0,95,0,2,1,6,2,34,6,30,6,4,2,1,1,2,0,1,0,1,1,7,1,12,0,2,1,5,0,1,1,2,3
NASH_down,0,3,0,12,0,31,1,3,1,1,2,8,0,8,0,1,0,2,0,0,0,1,0,0,2,3,3,5,1,1,0,1,0,1,2,3
diff_w4_up,0,0,2,1,2,1,194,0,55,0,56,14,34,28,22,4,4,3,1,2,2,1,3,2,8,23,8,29,7,1,5,5,3,2,18,3
diff_w4_down,0,0,0,2,1,3,0,87,0,35,7,39,10,28,1,15,0,0,0,0,0,0,0,0,7,9,8,12,1,2,1,1,1,2,5,6
diff_w8_up,0,0,3,1,6,1,55,0,248,0,140,1,69,11,62,0,5,5,5,0,4,0,7,4,13,20,14,25,11,2,7,4,11,0,12,6
diff_w8_down,0,0,0,1,2,1,0,35,0,164,2,115,4,78,0,51,1,2,0,1,0,4,0,0,8,14,13,19,1,1,2,3,2,2,14,5
diff_w16_up,0,0,6,0,34,2,56,7,140,2,1682,0,794,12,113,3,9,10,6,1,6,1,8,6,100,19,158,26,15,1,43,4,26,2,27,50
diff_w16_down,2,0,3,4,6,8,14,39,1,115,0,956,12,416,4,107,8,17,0,6,0,9,4,0,16,106,35,126,6,8,15,22,6,16,57,13
diff_w32_up,0,0,7,0,30,0,34,10,69,4,794,12,1365,0,84,5,6,3,6,0,5,0,8,5,72,8,112,11,11,0,32,1,23,4,34,32
diff_w32_down,2,1,2,3,6,8,28,28,11,78,12,416,0,873,3,88,2,25,0,9,0,15,2,0,14,99,26,113,4,6,9,19,2,17,48,19
diff_w48_up,0,0,1,0,4,0,22,1,62,0,113,4,84,3,197,0,1,6,0,0,0,0,0,0,7,12,11,17,4,0,1,2,4,1,9,4
diff_w48_down,1,0,1,0,2,1,4,15,0,51,3,107,5,88,0,180,2,4,0,2,2,4,4,2,10,16,14,13,0,1,3,2,3,5,13,4
HF12_up,0,0,1,0,1,0,4,0,5,1,9,8,6,2,1,2,67,1,8,1,18,1,13,18,14,11,10,13,7,2,10,1,17,1,4,0
HF12_down,0,0,0,0,1,2,3,0,5,2,10,17,3,25,6,4,1,84,1,4,1,10,1,1,4,26,7,32,3,2,1,3,1,6,7,3
HF18_up,0,0,1,0,2,0,1,0,5,0,6,0,6,0,0,0,8,1,18,1,7,1,11,7,4,5,6,5,6,1,10,1,8,2,0,0
HF18_down,0,0,0,0,0,0,2,0,0,1,1,6,0,9,0,2,1,4,1,20,1,6,1,1,1,5,1,8,1,1,1,8,1,3,1,2
STZ12_up,0,0,1,0,1,0,2,0,4,0,6,0,5,0,0,2,18,1,7,1,29,1,13,29,9,3,8,4,4,1,10,1,14,1,1,0
STZ12_down,0,1,0,0,0,1,1,0,0,4,1,9,0,15,0,4,1,10,1,6,1,28,1,1,3,10,1,15,1,1,1,3,1,5,2,0
STZ18_up,0,0,1,0,1,0,3,0,7,0,8,4,8,2,0,4,13,1,11,1,13,1,33,13,12,5,16,4,7,1,19,1,14,1,1,1
STZ18_down,0,0,1,0,1,0,2,0,4,0,6,0,5,0,0,2,18,1,7,1,29,1,13,29,9,3,8,4,4,1,10,1,14,1,1,0
MCD4_up,0,0,3,1,7,2,8,7,13,8,100,16,72,14,7,10,14,4,4,1,9,3,12,9,337,1,270,1,6,6,44,4,27,2,6,10
MCD4_down,0,0,1,1,1,3,23,9,20,14,19,106,8,99,12,16,11,26,5,5,3,10,5,3,1,368,0,303,19,5,21,22,11,20,27,1
MCD8_up,0,0,3,1,12,3,8,8,14,13,158,35,112,26,11,14,10,7,6,1,8,1,16,8,270,0,582,0,5,4,60,3,27,5,9,18
MCD8_down,0,0,0,1,0,5,29,12,25,19,26,126,11,113,17,13,13,32,5,8,4,15,4,4,1,303,0,517,26,6,22,35,15,19,33,7
Pten_up,0,0,2,0,2,1,7,1,11,1,15,6,11,4,4,0,7,3,6,1,4,1,7,4,6,19,5,26,55,1,9,3,12,3,6,1
Pten_down,0,0,1,1,1,1,1,2,2,1,1,8,0,6,0,1,2,2,1,1,1,1,1,1,6,5,4,6,1,40,1,4,1,3,2,0
HF30_up,0,0,1,0,5,0,5,1,7,2,43,15,32,9,1,3,10,1,10,1,10,1,19,10,44,21,60,22,9,1,151,1,26,1,10,5
HF30_down,0,0,0,0,0,1,5,1,4,3,4,22,1,19,2,2,1,3,1,8,1,3,1,1,4,22,3,35,3,4,1,91,1,8,9,4
WTD_up,0,0,1,0,1,0,3,1,11,2,26,6,23,2,4,3,17,1,8,1,14,1,14,14,27,11,27,15,12,1,26,1,81,1,4,3
WTD_down,0,0,0,0,1,1,2,2,0,2,2,16,4,17,1,5,1,6,2,3,1,5,1,1,2,20,5,19,3,3,1,8,1,51,2,3
macaca_ko_up,0,0,0,0,2,2,18,5,12,14,27,57,34,48,9,13,4,7,0,1,1,2,1,1,6,27,9,33,6,2,10,9,4,2,411,0
macaca_ko_down,0,1,0,2,3,3,3,6,6,5,50,13,32,19,4,4,0,3,0,2,0,0,1,0,10,1,18,7,1,0,5,4,3,3,0,223
