,SYMBOL,ENTREZID
1,Sgcb,680229
2,Car12,363085
3,H2afy2,361844
4,Stxbp1,25558
5,Abca2,79248
6,Apaf1,78963
7,Clstn3,171393
8,Dpysl2,25416
9,Fabp4,79451
10,Fam129b,362115
11,Fat1,83720
12,Gadd45a,25112
13,Galnt18,293181
14,Gria3,29628
15,Kif12,313254
16,Lpl,24539
17,Mmp9,81687
18,Mras,25482
19,Msn,81521
20,Pygb,25739
21,Rasef,298138
22,Rcan3,362627
23,Shank3,59312
24,Src,83805
25,Thy1,24832
26,Cspg4,81651
27,Hpgd,79242
28,Ros1,25346
29,Scube1,315174
30,Sned1,316638
31,Tmem154,361972
32,Gna12,81663
33,Fgl1,246186
34,Got1,24401
35,Igf1,24482
36,Igfbp2,25662
37,Gch1,29244
38,Hsd17b2,79243
39,Nxt2,315352
40,Slc7a2,64554
41,Ackr2,140473
42,Amdhd1,299735
43,Apof,500761
44,C8b,313421
45,Cd302,295629
46,Cpn1,365466
47,Hal,29301
48,Hsd17b11,289456
49,Met,24553
50,Micu2,171433
51,Opn3,498289
52,Polr2h,498109
53,Pon3,312086
54,Psmc6,289990
55,Pxmp2,29533
56,Srd5a1,24950
57,Ttc39c,686179
58,Abcb11,83569
59,Arl5b,364788
60,Oxnad1,306270
61,Pdia5,360722
62,Ppp2r5e,299147
63,Slc25a32,315023
