,up,down
1,ABAT,ABCA8
2,ABCA2,ABCD3
3,ABCB11,ACHE
4,ABCC11,ACP5
5,ABCC3,ADAM19
6,ABCC4,ADGRF5
7,ABCC6,ADSS
8,ABCG5,AHI1
9,ABCG8,AHSA1
10,ABHD14B,AJUBA
11,ACACA,AKAP12
12,ACACB,ANGPTL4
13,ACAD10,ANKRD9
14,ACOX2,ARHGAP15
15,ACSF3,ARHGAP25
16,ACSL3,ARHGAP28
17,ACSM5,ARHGDIB
18,ACSS2,ARL4A
19,ACVR1B,ASPN
20,ACVR1C,ATP1B3
21,ADAM11,ATP8A1
22,ADH4,ATRNL1
23,AFF1,AVPR1A
24,AGRN,B3GLCT
25,AHDC1,BAG1
26,AK9,BAG2
27,AKAP6,BEX1
28,AKR7A2,BMF
29,ALCAM,BMPER
30,ALDH4A1,BYSL
31,ALDH5A1,C6orf48
32,ALDOC,C7
33,ALPK3,CASP12
34,AMACR,CASP4
35,AMN1,CCDC68
36,ANGEL1,CCT2
37,ANGPTL8,CCT3
38,ANKRD62,CCT5
39,ANKS4B,CD163
40,ANO1,CD300A
41,ANO7,CD48
42,ANPEP,CDV3
43,AOC1,CEBPG
44,APOL5,CHAC1
45,AQP9,CHCHD4
46,ARHGAP33,CHSY1
47,ARHGEF10L,CKAP4
48,ARHGEF26,CLC
49,ARHGEF28,CLEC1A
50,ARHGEF37,CLEC2B
51,ARMC2,COL4A1
52,ARNT,CPA4
53,ASAP3,CPT1A
54,ASB9,CXCL11
55,ATAD2,DCLK2
56,ATF7IP,DCN
57,ATG10,DDX21
58,ATP2B2,DDX39A
59,ATP6AP1L,DLL4
60,ATP6V0D2,DOCK11
61,ATP7B,DPT
62,AUTS2,DUSP3
63,AZIN2,DUSP5
64,B4GALT1,DYNLT1
65,B4GALT6,ECE2
66,BAHCC1,EIF2S1
67,BAIAP2L2,EIF3B
68,BBS4,EIF4A1
69,BCAR3,EIF6
70,BHLHE40,ELK3
71,BPHL,EMCN
72,C15orf41,F2R
73,C2orf72,F8
74,C3,FABP4
75,C6orf132,FAM159B
76,CACNA1D,FAM49A
77,CALM3,FASTKD1
78,CAMK4,FBP2
79,CASP10,FCGR2B
80,CASTOR1,FGF1
81,CATSPERE,FGL2
82,CBR1,FHL1
83,CBS,FILIP1L
84,CCDC14,FKBP4
85,CCDC158,FLT1
86,CCDC180,FLT4
87,CCDC88C,FLVCR2
88,CCNI,FRMPD4
89,CD1D,GEM
90,CD24,GIMAP4
91,CDH17,GIMAP6
92,CDK18,GIMAP8
93,CECR2,GLIPR2
94,CEP131,GNB4
95,CETN2,GNG11
96,CFAP57,GNL2
97,CFTR,GNL3
98,CGNL1,GOT1
99,CGREF1,GPR137B
100,CHADL,GPX3
101,CHMP4C,GUCD1
102,CHRD,GUCY1A2
103,CISH,HACL1
104,CLDN2,HAL
105,CLYBL,HSDL1
106,CMBL,HSDL2
107,COL27A1,HSP90AA1
108,COLCA2,Hsp90ab1
109,COMT,HSPA8
110,CORIN,HSPH1
111,COX15,HYAL2
112,CRAT,ID2
113,CRIP3,IFRD1
114,CRYL1,IGFBP5
115,CSAD,ISCA1
116,CSRNP3,KCNE3
117,CSTA,KIF5B
118,CTSK,KIF7
119,CTSZ,KIT
120,CYP21A2,KLF6
121,CYP3A43,KPNA2
122,CYP4F11,LDB2
123,CYP4F2,LEPR
124,CYP4V2,LHFPL2
125,DAB1,LOX
126,DBH,LOXL2
127,DDAH1,LYVE1
128,DDX58,MAFK
129,DGAT2,MAP3K5
130,DHCR24,MAP7D3
131,DHCR7,MARCH3
132,DHRS1,MB21D2
133,DHRS12,ME2
134,DHTKD1,MID1
135,DMBT1,MMRN1
136,DMD,MRC1
137,DMP1,MSANTD4
138,DSC3,MTFP1
139,DTNB,MTHFD2
140,EBP,MYCT1
141,ECI1,MYH10
142,EDN3,NBN
143,EFCAB7,NCF2
144,EHD1,NDUFAF4
145,EHF,NDUFAF5
146,ENTPD2,NFAM1
147,EPHA1,NFIL3
148,EPHB6,NHSL2
149,EPHX1,NOP10
150,EPS8L2,NPL
151,ERICH3,NPR1
152,ETNK2,NPY1R
153,EVL,NPY5R
154,EZH2,NT5C
155,FAM107B,OGN
156,FAM124B,OIT3
157,FAM198A,OSGIN2
158,FANCC,OXSR1
159,FASN,P2RY2
160,FAXDC2,P4HA1
161,FBXL7,PANK1
162,FMO2,PDLIM3
163,FMO4,PFKFB3
164,FN3K,PIGW
165,FOS,PIK3R5
166,FOXP3,PKD2
167,FTCD,PLAC8
168,GABRR3,PLPP1
169,GAPDH,PNMA3
170,GBE1,PPAN
171,GCK,PPARGC1A
172,GCKR,PPP1R26
173,GEN1,PPP1R9A
174,GFRA1,PRELID3B
175,GFRA3,PTGER3
176,GIMD1,PTPRB
177,GLCE,PVT1_3
178,GLDC,RAB30
179,GLYAT,RAMP3
180,GLYATL3,RAN
181,GNAT1,RASGRP3
182,GPAM,RDH13
183,GPHN,RELN
184,GPLD1,RGS2
185,GRB14,RHEB
186,GSDME,RHOB
187,HDHD3,RIPOR3
188,HFE2,RNF39
189,HGFAC,RPL32
190,HHIPL2,RPL35
191,HMBOX1,RPLP0
192,HS6ST1,RPLP2
193,HSD17B3,RPP40
194,HSF4,RPS16
195,HTR2A,RPS19
196,IGFALS,RPS21
197,IRF6,RPS6KA5
198,ISM1,RPS6KL1
199,ITGB3BP,RRS1
200,ITM2A,SACS
201,IVD,SCAMP1
202,JUP,SCARNA7
203,KANK4,SEC22B
204,KCNJ3,SEC61G
205,KCNK17,SELENOS
206,KCNT2,SEMA3D
207,KDM1B,SEMA6B
208,KIAA0556,SEMA6D
209,KIAA1324L,SESTD1
210,KLHL14,SH3BGRL2
211,KLHL5,SINHCAF
212,KRT20,SLC16A1
213,KYAT1,SLC16A7
214,L3MBTL2,SLC20A1
215,LAP3,SLC38A2
216,LCN12,SLC43A2
217,LEAP2,SLC4A7
218,LIMCH1,SLC7A7
219,LIMD1,SLC9B2
220,LRIG1,SNCAIP
221,LRRC45,SNORA1
222,LRRC66,SNORD113
223,LRRC74A,snoU85
224,LSS,SOCS2
225,LTBP2,SOD2
226,LYPD6B,SRPRB
227,LYPLAL1,SRSF3
228,MAJIN,SSB
229,MAP3K13,STAB1
230,MAPK8IP1,SYNM
231,MARC1,TAF1D
232,MAT1A,TCP1
233,MATN2,TCP11L2
234,MBL2,TEAD1
235,MBNL3,TEK
236,MBP,TEX11
237,METTL8,THBS2
238,MFAP3L,TIMM17A
239,MGST1,TLR4
240,MIPOL1,TM4SF4
241,MMP20,TMEM185B
242,MMP27,TMEM86A
243,MMP7,TNFRSF10B
244,MPP6,TNFRSF21
245,MPPE1,TNIP2
246,MREG,TPPP
247,MTCL1,TRIM2
248,MTMR12,TRIM31
249,MUC5B,TRPC6
250,MVK,TSPAN7
251,MYH14,TUBA1B
252,MYLK,TUBB2A
253,NDST1,TXNIP
254,NECTIN1,UBAC1
255,NEIL1,UGCG
256,NFIA,VCAM1
257,NFIB,VNN1
258,NFIC,VWA2
259,NFIX,WDR66
260,NFKBIZ,XPOT
261,NGEF,XYLT1
262,NGFR,YOD1
263,NHSL1,ZDHHC23
264,NOXA1,ZNF131
265,NPC1L1,ZNF366
266,NREP,ZNRD1
267,NRG3,NA
268,NUDT16L1,NA
269,NUGGC,NA
270,NUMB,NA
271,OAF,NA
272,OAZ2,NA
273,ODF2L,NA
274,OGDHL,NA
275,ONECUT2,NA
276,OPRPN,NA
277,OSCP1,NA
278,OSGIN1,NA
279,OSTN,NA
280,OVGP1,NA
281,PAQR9,NA
282,PATJ,NA
283,PBLD,NA
284,PCK2,NA
285,PCP2,NA
286,PCSK6,NA
287,PCSK9,NA
288,PDE6C,NA
289,PDZRN3,NA
290,PER3,NA
291,PFKFB1,NA
292,PGRMC2,NA
293,PIGL,NA
294,PJVK,NA
295,PKLR,NA
296,PLA2G15,NA
297,PLA2G6,NA
298,PLEKHA5,NA
299,PLEKHA6,NA
300,PLEKHG6,NA
301,PLEKHH3,NA
302,PLEKHS1,NA
303,PLXNB1,NA
304,PNPLA3,NA
305,PORCN,NA
306,PPL,NA
307,PPP1R3B,NA
308,PPP4R4,NA
309,PRKAB2,NA
310,PRKACA,NA
311,PRPSAP1,NA
312,PRSS12,NA
313,PSKH2,NA
314,PTPRF,NA
315,PYROXD2,NA
316,QRICH2,NA
317,R3HDM2,NA
318,RAB11FIP4,NA
319,RAB43,NA
320,RAD54L2,NA
321,RAI14,NA
322,RANBP10,NA
323,RANBP17,NA
324,RAP1A,NA
325,RBP5,NA
326,REN,NA
327,RFTN1,NA
328,RGN,NA
329,RGS14,NA
330,RHOBTB1,NA
331,RNF125,NA
332,RNF144B,NA
333,RNF43,NA
334,RPGRIP1L,NA
335,RSAD1,NA
336,RWDD3,NA
337,SARDH,NA
338,SAT2,NA
339,SC5D,NA
340,SCAI,NA
341,SCARB1,NA
342,SCML4,NA
343,SCN7A,NA
344,SEC14L2,NA
345,SEC14L3,NA
346,SEC14L4,NA
347,SEC31B,NA
348,SEC61A2,NA
349,SEMA3F,NA
350,SEMA4G,NA
351,SERINC2,NA
352,SERPINA12,NA
353,SERPING1,NA
354,SFXN1,NA
355,SH3BP2,NA
356,SH3RF2,NA
357,SHANK2,NA
358,SHROOM3,NA
359,SKP2,NA
360,SLC13A1,NA
361,SLC15A1,NA
362,SLC16A2,NA
363,SLC17A1,NA
364,SLC17A2,NA
365,SLC17A4,NA
366,SLC20A2,NA
367,SLC22A7,NA
368,SLC23A1,NA
369,SLC23A3,NA
370,SLC25A23,NA
371,SLC26A11,NA
372,SLC2A4RG,NA
373,SLC30A10,NA
374,SLC35C1,NA
375,SLC38A11,NA
376,SLC38A3,NA
377,SLC45A3,NA
378,SLC4A9,NA
379,SLC5A9,NA
380,SLC6A12,NA
381,SLCO4C1,NA
382,SMARCA2,NA
383,SMO,NA
384,SMOC1,NA
385,SMYD3,NA
386,SNAI2,NA
387,SNORD115,NA
388,SORD,NA
389,SOX13,NA
390,SPATA16,NA
391,SPATA6L,NA
392,SPIRE2,NA
393,SPOUT1,NA
394,SRCIN1,NA
395,SRD5A3,NA
396,SREBF1,NA
397,SREBF2,NA
398,SRL,NA
399,ST8SIA3,NA
400,STARD4,NA
401,STARD5,NA
402,STEAP2,NA
403,STEAP3,NA
404,STK38,NA
405,STPG3,NA
406,STX1B,NA
407,SUOX,NA
408,SYCE1,NA
409,SYT10,NA
410,TAS1R3,NA
411,TBC1D24,NA
412,TBL1X,NA
413,TCAIM,NA
414,TCEA3,NA
415,TEF,NA
416,TEKT5,NA
417,THOP1,NA
418,THSD4,NA
419,TIAM2,NA
420,TMEM132C,NA
421,TMEM182,NA
422,TMEM184A,NA
423,TMEM220,NA
424,TMEM25,NA
425,TMPRSS6,NA
426,TMTC2,NA
427,TNFSF13,NA
428,TNKS1BP1,NA
429,TNN,NA
430,TNNI1,NA
431,TNS2,NA
432,TOM1L2,NA
433,TPMT,NA
434,TRIM14,NA
435,TRIM25,NA
436,TRIM26,NA
437,TRIQK,NA
438,TRO,NA
439,TRPM5,NA
440,TRPV6,NA
441,TSKU,NA
442,TSPAN15,NA
443,TSPAN32,NA
444,TTLL2,NA
445,UNC93A,NA
446,VEGFA,NA
447,VWA3B,NA
448,WDFY2,NA
449,WDR19,NA
450,XYLB,NA
451,ZC3H6,NA
452,ZC3HAV1,NA
453,ZDHHC14,NA
454,ZFHX4,NA
455,ZFP36L1,NA
456,ZFYVE1,NA
457,ZKSCAN1,NA
458,ZMYM3,NA
459,ZNF385B,NA
460,ZNF618,NA
461,ZNF804B,NA
462,ZNRF3,NA
